diseaseId,diseaseName,diseaseType,diseaseClass,diseaseSemanticType,NofGenes,NofPmids
C0162309,Adrenoleukodystrophy,disease,C16;C18;C10;C19,"Disease or Syndrome",294,496
C0162311,"Androgenetic Alopecia",disease,C23;C17,"Disease or Syndrome",112,88
C0162316,"Iron deficiency anemia",disease,C18;C15,"Disease or Syndrome",83,118
C0162323,Polyarthritis,disease,C05,"Disease or Syndrome",65,72
C0162351,"Contact hypersensitivity",phenotype,C17,"Pathologic Function",71,7
C0162359,"Christ-Siemens-Touraine syndrome",disease,C16;C17,"Disease or Syndrome",45,163
C0162361,"Hidrotic Ectodermal Dysplasia",disease,C16;C17,"Disease or Syndrome",8,37
C0162375,"Granuloma, Giant Cell Reparative",disease,C23;C05;C07,"Disease or Syndrome",11,6
C0162429,Malnutrition,disease,C18,"Disease or Syndrome",417,527
C0162442,"Parapsoriasis en Plaques",disease,C17,"Disease or Syndrome",9,6
C0162451,"Poison Ivy Dermatitis",disease,C17;C20,"Disease or Syndrome",1,1
C0162504,"Neutrophilic Eccrine Hidradenitis",disease,C17,"Disease or Syndrome",1,1
C0162510,"Caroli Disease",disease,C16;C06,"Disease or Syndrome; Congenital Abnormality",8,10
C0162526,"AIDS-Related Opportunistic Infections",group,C01;C20,"Disease or Syndrome",1,1
C0162529,"Colitis, Ischemic",disease,C06;C14,"Disease or Syndrome",15,9
C0162530,"Porphyria, Erythropoietic",disease,C16;C18;C17,"Disease or Syndrome",20,73
C0162531,"Hereditary Coproporphyria",disease,C16;C06;C18;C17,"Disease or Syndrome",13,39
C0162532,"Variegate Porphyria",disease,C16;C06;C18;C17,"Disease or Syndrome",21,75
C0162533,"Porphyrias, Hepatic",group,C16;C06;C18;C17,"Disease or Syndrome",7,7
C0162534,"Prion Diseases",group,C01;C10,"Disease or Syndrome",175,786
C0162538,"Immunoglobulin A deficiency (disorder)",disease,C20;C15,"Disease or Syndrome",72,54
C0162539,"IgG Deficiency disorder",disease,C20;C15,"Disease or Syndrome",10,13
C0162557,"Liver Failure, Acute",disease,C06,"Disease or Syndrome",282,333
C0162565,"Acute intermittent porphyria",disease,C16;C06;C18;C17,"Disease or Syndrome",103,246
C0162566,"Porphyria Cutanea Tarda",disease,C16;C06;C18;C17,"Disease or Syndrome",30,126
C0162568,"Erythropoietic Protoporphyria",disease,C16;C06;C18;C17,"Disease or Syndrome",24,141
C0162569,"Hepatoerythropoietic Porphyria",disease,C16;C06;C18;C17,"Disease or Syndrome",3,31
C0162576,Anisakiasis,disease,C06;C01,"Disease or Syndrome",3,3
C0162627,"Skin Diseases, Bacterial",group,C01;C17,"Disease or Syndrome",1,1
C0162628,"Skin Diseases, Viral",group,C01;C17,"Disease or Syndrome",6,4
C0162635,"Angelman Syndrome",disease,C16;C10,"Disease or Syndrome",94,282
C0162637,"Strongylida Infections",group,C01,"Disease or Syndrome",1,1
C0162644,"Root Caries",disease,C07,"Disease or Syndrome",4,3
C0162666,"Mitochondrial Encephalomyopathies",disease,C18;C05;C10,"Disease or Syndrome",53,53
C0162668,"Megaconial Myopathies",disease,C18;C05;C10,"Disease or Syndrome",10,6
C0162669,"Pleoconial Myopathies",disease,C18;C05;C10,"Disease or Syndrome",9,5
C0162670,"Mitochondrial Myopathies",group,C18;C05;C10,"Disease or Syndrome",121,85
C0162671,"MELAS Syndrome",disease,C16;C18;C05;C10;C14,"Disease or Syndrome",80,157
C0162672,"MERRF Syndrome",disease,C16;C18;C05;C10,"Disease or Syndrome",51,47
C0162674,"Chronic progressive external ophthalmoplegia",disease,C23;C18;C11;C05;C10,"Disease or Syndrome",50,89
C0162677,"Caliciviridae Infections",group,C01,"Disease or Syndrome",1,1
C0162678,Neurofibromatoses,group,C16;C04;C10,"Neoplastic Process",135,198
C0162679,"Leukemic Infiltration",phenotype,C23;C04,"Neoplastic Process",7,7
C0162699,"Tick-Borne Infections",group,C01,"Disease or Syndrome",2,2
C0162700,"Tick-Borne Diseases",group,C01,"Disease or Syndrome",1,1
C0162701,Polysomnography,phenotype,NULL,"Diagnostic Procedure",119,4
C0162739,"HELLP Syndrome",disease,C13,"Disease or Syndrome",77,66
C0162770,"Right Ventricular Hypertrophy",disease,C23;C14,"Disease or Syndrome",160,106
C0162809,"Kallmann Syndrome",disease,C16;C13;C12;C19,"Disease or Syndrome",86,231
C0162810,"Cicatrix, Hypertrophic",disease,C23,"Acquired Abnormality",185,181
C0162817,"Skin Diseases, Eczematous",group,C17,"Disease or Syndrome",1,1
C0162819,"Skin Diseases, Vascular",group,C17,"Disease or Syndrome",11,1
C0162820,"Dermatitis, Allergic Contact",disease,C17;C20,"Disease or Syndrome",151,92
C0162823,"Dermatitis, Irritant",disease,C17,"Disease or Syndrome",29,25
C0162824,"Dermatitis, Photoallergic",disease,C17;C20,"Disease or Syndrome",1,0
C0162830,"Dermatitis, Phototoxic",disease,C17,"Disease or Syndrome",89,90
C0162834,Hyperpigmentation,phenotype,C17,"Pathologic Function",73,7
C0162835,"Hypopigmentation disorder",disease,C17,"Disease or Syndrome",126,119
C0162836,"Hidradenitis Suppurativa",disease,C01;C17,"Disease or Syndrome",82,84
C0162838,"Porokeratosis, Palmoplantar",disease,C16;C17,"Disease or Syndrome",1,1
C0162839,Porokeratosis,disease,C16;C17,"Congenital Abnormality",11,9
C0162848,"Lichenoid Eruptions",group,C17,"Disease or Syndrome",18,13
C0162852,"Pityriasis Lichenoides et Varioliformis Acuta",disease,C17,"Disease or Syndrome",4,4
C0162853,"Pityriasis Lichenoides",disease,C17,"Disease or Syndrome",2,2
C0162869,"Aneurysm, Ruptured",disease,C14,"Disease or Syndrome",19,15
C0162871,"Aortic Aneurysm, Abdominal",disease,C14,"Disease or Syndrome",586,679
C0162872,"Aortic Aneurysm, Thoracic",disease,C14,"Disease or Syndrome",41,54
C0175683,Citrullinemia,disease,C16;C18;C10,"Disease or Syndrome",7,42
C0175691,"Dubowitz syndrome",disease,C23;C16;C17;C05;C10;F03;F01,"Disease or Syndrome",12,11
C0175692,"Johanson-Blizzard syndrome",disease,C23;C16;C06;C17;C10;C19;F03;C09;F01,"Disease or Syndrome",7,19
C0175693,"Russell-Silver syndrome",disease,C16;C05,"Disease or Syndrome",104,181
C0175694,"Smith-Lemli-Opitz Syndrome",disease,C16;C18,"Disease or Syndrome",30,166
C0175695,"Sotos' syndrome",disease,C16,"Disease or Syndrome",25,89
C0175697,"Van der Woude syndrome",disease,C23;C16;C04;C05;C07,"Disease or Syndrome",113,144
C0175699,"Saethre-Chotzen Syndrome",disease,C16;C05,"Disease or Syndrome",30,87
C0175700,"Multiple synostosis syndrome",disease,C05,"Disease or Syndrome",5,17
C0175701,"Aarskog syndrome",disease,C16;C05;C19;C14,"Disease or Syndrome",42,92
C0175702,"Williams Syndrome",disease,C16;C10;C14,"Disease or Syndrome",104,250
C0175703,"Thrombocytopenia-Absent Radius Syndrome",disease,C16;C05;C15,"Disease or Syndrome",12,16
C0175704,"LEOPARD Syndrome",disease,C16;C17;C05;C14,"Disease or Syndrome",47,143
C0175707,"Asplenia Syndrome",disease,C16;C15;C14,"Disease or Syndrome",13,12
C0175708,"Chronic rheumatic heart disease",disease,C01;C14,"Disease or Syndrome",5,5
C0175709,"Centronuclear myopathy",disease,C05;C10,"Disease or Syndrome",40,123
C0175713,"Aicardi's syndrome",disease,C16;C11;C10,"Disease or Syndrome",7,6
C0175754,"Agenesis of corpus callosum",disease,C23;C16;C10,"Congenital Abnormality",615,499
C0175755,"Congenital absent nipple",disease,C16,"Congenital Abnormality",7,1
C0175778,"Larsen syndrome",disease,C16;C05,"Disease or Syndrome",6,14
C0175816,"Cold Hemagglutinin Disease",disease,C20;C15,"Disease or Syndrome",3,3
C0177804,"Bone Mineral Density Test",phenotype,NULL,"Diagnostic Procedure",54,14
C0178238,"Intestinal infectious disease (disorder)",group,C06;C01,"Disease or Syndrome",34,26
C0178264,"Inflammatory disease of the central nervous system",group,C10,"Disease or Syndrome",36,33
C0178272,"Disorder of pulmonary circulation",group,C08;C14,"Disease or Syndrome",1,1
C0178282,"Hernia of abdominal cavity",disease,C23,"Anatomical Abnormality",1,1
C0178298,"Skin and subcutaneous tissue disorders",group,C23,"Disease or Syndrome",1,2
C0178416,"Hypoplastic anemia",disease,C15,"Disease or Syndrome",12,12
C0178417,Anhedonia,disease,C23;C10;F01,"Mental or Behavioral Dysfunction",93,81
C0178421,"Fibroadenoma of breast",disease,C04;C17,"Neoplastic Process",11,0
C0178422,"Cramp in foot",phenotype,NULL,"Sign or Symptom",1,1
C0178426,"Oligohydramnios sequence",disease,C23;C13;C12,"Disease or Syndrome",1,1
C0178468,"Autoimmune thyroid disease",disease,C20;C19,"Disease or Syndrome",107,192
C0178540,"Cerebral Hypoxia-Ischemia",disease,C10;C14,"Disease or Syndrome",13,9
C0178650,Gammopathy,disease,C20;C15,"Disease or Syndrome",1,1
C0178664,"Glomerulosclerosis (disorder)",disease,C13;C12;C14,"Disease or Syndrome",221,250
C0178703,"Hypertrophic osteoarthropathy",disease,C23;C05,"Disease or Syndrome",2,2
C0178782,"Orofacial Pain",phenotype,C23,"Sign or Symptom",40,30
C0178824,"Reactive Hyperemia",phenotype,C14,"Pathologic Function",13,14
C0178829,"reproductive system disorder",group,C23,"Disease or Syndrome",3,1
C0178874,"Tumor Progression",phenotype,C23,"Neoplastic Process",3865,10568
C0178879,"Urinary tract obstruction",disease,C13;C12,"Disease or Syndrome",27,26
C0184567,"Acute onset pain",phenotype,C23,"Sign or Symptom",53,53
C0200633,"Neutrophil count (procedure)",phenotype,NULL,"Laboratory Procedure",145,9
C0200635,"Lymphocyte Count measurement",phenotype,NULL,"Laboratory Procedure",338,5
C0200637,"Monocyte count procedure",phenotype,NULL,"Laboratory Procedure",139,10
C0200638,"Eosinophil count procedure",phenotype,NULL,"Laboratory Procedure",610,6
C0200641,"Blood basophil count (lab test)",phenotype,NULL,"Laboratory Procedure",272,5
C0200665,"Platelet mean volume determination (procedure)",phenotype,NULL,"Laboratory Procedure",223,9
C0200695,"Fetal hemoglobin determination",phenotype,NULL,"Laboratory Procedure",40,8
C0201278,"Antibody measurement (procedure)",group,NULL,"Laboratory Procedure",5,3
C0201512,"Thyroglobulin antibody measurement",phenotype,NULL,"Laboratory Procedure",10,2
C0201534,"Antiphospholipid antibodies measurement",phenotype,NULL,"Laboratory Procedure",6,1
C0201544,"Prostate specific antigen measurement",phenotype,NULL,"Laboratory Procedure",25,8
C0201657,"C-reactive protein measurement",phenotype,NULL,"Laboratory Procedure",135,24
C0201836,"Alanine aminotransferase measurement",phenotype,NULL,"Laboratory Procedure",41,13
C0201850,"Alkaline phosphatase measurement",phenotype,NULL,"Laboratory Procedure",42,11
C0201874,"Amino acids measurement",group,NULL,"Laboratory Procedure",53,5
C0201896,"Arylsulfatase B measurement",phenotype,NULL,"Laboratory Procedure",1,1
C0201899,"Aspartate aminotransferase measurement",phenotype,NULL,"Laboratory Procedure",57,10
C0201910,"Beta-2-microglobulin measurement",phenotype,NULL,"Laboratory Procedure",6,1
C0201925,"Calcium measurement",phenotype,NULL,"Laboratory Procedure",23,6
C0201950,"Cholesterol measurement test",phenotype,NULL,"Laboratory Procedure",1,1
C0201952,"Chloride measurement",phenotype,NULL,"Laboratory Procedure",16,1
C0201968,"Cortisol Measurement",phenotype,NULL,"Laboratory Procedure",12,2
C0201973,"Creatine kinase measurement",phenotype,NULL,"Laboratory Procedure",29,3
C0201976,"Creatinine measurement, serum (procedure)",phenotype,NULL,"Laboratory Procedure",124,11
C0201983,"Dehydroepiandrosterone sulfate measurement (procedure)",phenotype,NULL,"Laboratory Procedure",18,3
C0202022,"Follicle stimulating hormone measurement",phenotype,NULL,"Laboratory Procedure",9,2
C0202025,"Fructosamine measurement",phenotype,NULL,"Laboratory Procedure",1,1
C0202035,"Gamma glutamyl transferase measurement",phenotype,NULL,"Laboratory Procedure",5,1
C0202071,"Homovanillic acid measurement",phenotype,NULL,"Laboratory Procedure",1,1
C0202075,"17 Hydroxyprogesterone measurement",phenotype,NULL,"Laboratory Procedure",7,1
C0202083,"Immunoglobulin A measurement",phenotype,NULL,"Laboratory Procedure",4,1
C0202098,"Insulin measurement",phenotype,NULL,"Laboratory Procedure",15,6
C0202100,"Insulin C-peptide measurement",phenotype,NULL,"Laboratory Procedure",3,2
C0202105,"Transferrin measurement",phenotype,NULL,"Laboratory Procedure",6,3
C0202115,"Lactic acid measurement",phenotype,NULL,"Laboratory Procedure",1,1
C0202117,"Low density lipoprotein cholesterol measurement",phenotype,NULL,"Laboratory Procedure",483,61
C0202123,"Luteinizing hormone measurement",phenotype,NULL,"Laboratory Procedure",1,1
C0202159,"Parathyroid hormone measurement",phenotype,NULL,"Laboratory Procedure",10,2
C0202171,"Phosphatidylinositol measurement",phenotype,NULL,"Laboratory Procedure",4,1
C0202174,"blood phenylalanine measurement by Guthrie microbiologic assay",phenotype,NULL,"Laboratory Procedure",4,2
C0202177,"Phospholipid measurement",phenotype,NULL,"Laboratory Procedure",58,5
C0202178,"Phosphorus measurement",phenotype,NULL,"Laboratory Procedure",11,2
C0202194,"Potassium measurement",phenotype,NULL,"Laboratory Procedure",16,2
C0202202,"Protein measurement",group,NULL,"Laboratory Procedure",75,7
C0202218,"Sex hormone binding globulin measurement",phenotype,NULL,"Laboratory Procedure",11,3
C0202220,"Somatomedin-C measurement",phenotype,NULL,"Laboratory Procedure",1,0
C0202230,"Thyroid stimulating hormone measurement",phenotype,NULL,"Laboratory Procedure",42,12
C0202231,"Thyroxine measurement",phenotype,NULL,"Laboratory Procedure",24,6
C0202236,"Triglycerides measurement",phenotype,NULL,"Laboratory Procedure",563,70
C0202239,"Uric acid measurement (procedure)",phenotype,NULL,"Laboratory Procedure",264,40
C0202251,"Vitamin B6 measurement",phenotype,NULL,"Laboratory Procedure",5,6
C0202252,"VITAMIN B12 MEASUREMENT",phenotype,NULL,"Laboratory Procedure",13,6
C0202363,"Cotinine measurement",phenotype,NULL,"Laboratory Procedure",1,1
C0202455,"Platinum measurement",phenotype,NULL,"Laboratory Procedure",6,1
C0205204,Scab,disease,NULL,"Acquired Abnormality",24,18
C0205622,"Microinvasive tumor",disease,NULL,"Neoplastic Process",13,13
C0205641,"Adenocarcinoma, Basal Cell",disease,C04,"Neoplastic Process",123,83
C0205642,"Adenocarcinoma, Oxyphilic",disease,C04,"Neoplastic Process",135,93
C0205643,"Carcinoma, Cribriform",disease,C04,"Neoplastic Process",117,75
C0205644,"Carcinoma, Granular Cell",disease,C04,"Neoplastic Process",116,74
C0205645,"Adenocarcinoma, Tubular",disease,C04,"Neoplastic Process",133,97
C0205646,"Adenoma, Basal Cell",disease,C04,"Neoplastic Process",49,48
C0205647,"Follicular adenoma",disease,C04,"Neoplastic Process",183,192
C0205648,"Adenoma, Microcystic",disease,C04,"Neoplastic Process",45,36
C0205649,"Adenoma, Monomorphic",disease,C04,"Neoplastic Process",36,35
C0205650,"Papillary adenoma",disease,C04,"Neoplastic Process",39,38
C0205651,"Adenoma, Trabecular",disease,C04,"Neoplastic Process",37,36
C0205671,"Infections, Arenavirus",group,C01,"Disease or Syndrome",12,7
C0205682,"Waist-Hip Ratio",phenotype,NULL,"Organism Attribute",565,14
C0205695,"Carcinoid, Goblet Cell",disease,C04,"Neoplastic Process",34,11
C0205696,"Anaplastic carcinoma",disease,C04,"Neoplastic Process",232,133
C0205697,"Carcinoma, Spindle-Cell",disease,C04,"Neoplastic Process",218,103
C0205698,"Undifferentiated carcinoma",disease,C04,"Neoplastic Process",283,176
C0205699,Carcinomatosis,phenotype,C04,"Neoplastic Process",186,71
C0205700,"Asymmetric Septal Hypertrophy",disease,C23;C16;C14,"Disease or Syndrome",31,16
C0205710,"Alpers Syndrome (disorder)",disease,C20;C10,"Disease or Syndrome",28,143
C0205711,"Pelizaeus-Merzbacher Disease",disease,C16;C18;C10,"Disease or Syndrome",30,202
C0205713,"Roussy-Levy Syndrome (disorder)",disease,C16;C10,"Disease or Syndrome",26,53
C0205730,"Hereditary Opalescent Dentin (disorder)",disease,C16;C07,"Disease or Syndrome; Congenital Abnormality",1,0
C0205734,"Diabetes, Autoimmune",disease,C18;C20;C19,"Disease or Syndrome",172,216
C0205747,"Familial Atypical Multiple Mole-Melanoma",disease,C16;C04,"Neoplastic Process",10,14
C0205748,"Dysplastic Nevus",disease,C16;C04,"Neoplastic Process",104,101
C0205766,Myxofibroma,disease,C04,"Neoplastic Process",7,6
C0205768,"Subependymal Giant Cell Astrocytoma",disease,C04,"Neoplastic Process",44,31
C0205769,"Myxopapillary ependymoma",disease,C04,"Neoplastic Process",12,6
C0205770,"Choroid Plexus Papilloma",disease,C04;C10,"Neoplastic Process",64,76
C0205788,"Histiocytoid hemangioma",disease,C04,"Neoplastic Process",18,14
C0205789,"Hemangioma, Intramuscular",disease,C04,"Neoplastic Process",6,5
C0205815,"Leiomyosarcoma, Epithelioid",disease,C04,"Neoplastic Process",11,7
C0205816,"Leiomyosarcoma, Myxoid",disease,C04,"Neoplastic Process",14,10
C0205822,Hibernoma,disease,C04,"Neoplastic Process",10,10
C0205823,"Pleomorphic Lipoma",disease,C04,"Neoplastic Process",13,7
C0205824,"Liposarcoma, Dedifferentiated",disease,C04,"Neoplastic Process",95,117
C0205825,"Liposarcoma, Pleomorphic",disease,C04,"Neoplastic Process",33,31
C0205833,Medullomyoblastoma,disease,C04,"Neoplastic Process",43,18
C0205834,"Meningiomas, Multiple",disease,C04;C10,"Neoplastic Process",17,21
C0205851,"Germ cell tumor",disease,C04,"Neoplastic Process",278,340
C0205852,"Neoplasms, Embryonal and Mixed",disease,C04,"Neoplastic Process",15,6
C0205854,"Glandular Neoplasms",disease,C04,"Neoplastic Process",8,7
C0205858,"General Paralysis",disease,C01;C10,"Disease or Syndrome",12,12
C0205874,"Papilloma, Squamous Cell",disease,C04,"Neoplastic Process",16,14
C0205875,Papillomatosis,disease,C04,"Neoplastic Process",18,18
C0205882,"Infections, Parvovirus",group,C01,"Disease or Syndrome",12,7
C0205898,pineoblastoma,disease,C04;C10,"Neoplastic Process",18,16
C0205929,"Anal Fistula",disease,C23;C06,"Acquired Abnormality",3,2
C0205944,"Sarcoma, Epithelioid",disease,C04,"Neoplastic Process",66,75
C0205945,"Sarcoma, Spindle Cell",disease,C04,"Neoplastic Process",46,33
C0205969,"Thymic Carcinoma",disease,C04;C15,"Neoplastic Process",82,73
C0206019,"HIV Encephalopathy",disease,C01;C20;C10;F03,"Disease or Syndrome",45,29
C0206042,"Fatal Familial Insomnia",disease,C01;C10,"Disease or Syndrome",25,101
C0206044,"Infections, Calicivirus",group,C01,"Disease or Syndrome",2,2
C0206061,"Pneumonia, Interstitial",disease,C08,"Disease or Syndrome",66,57
C0206062,"Lung Diseases, Interstitial",group,C08,"Disease or Syndrome",319,478
C0206063,"Radiation Pneumonitis",disease,C08;C26,"Injury or Poisoning",4,3
C0206064,"Microvascular Angina",disease,C14,"Disease or Syndrome",39,34
C0206067,"Focal Epithelial Hyperplasia",disease,C07,"Disease or Syndrome",3,2
C0206081,Hyperandrogenism,disease,C16;C13;C12;C19,"Disease or Syndrome",108,142
C0206085,"Kleine-Levin Syndrome",disease,C10;F03,"Disease or Syndrome",5,7
C0206093,"Neuroectodermal Tumors",disease,C04,"Neoplastic Process",56,38
C0206094,"Neuroectodermal Tumor, Melanotic",disease,C04,"Neoplastic Process",6,4
C0206114,"Periodontal Attachment Loss",disease,C07,"Disease or Syndrome",4,2
C0206115,"WAGR Syndrome",disease,C16;C04;C13;C11;C12;C10;C19,"Disease or Syndrome",13,40
C0206138,"CREST Syndrome",disease,C06;C18;C17;C14,"Disease or Syndrome",59,36
C0206139,"Lichen Planus, Oral",disease,C17;C07,"Disease or Syndrome",257,215
C0206141,"Idiopathic Hypereosinophilic Syndrome",disease,C15,"Disease or Syndrome",43,100
C0206142,"Eosinophilic leukemia",disease,C15,"Neoplastic Process",18,18
C0206143,"Loeffler's Endocarditis",disease,C15,"Disease or Syndrome",2,2
C0206145,"Stunned Myocardium",disease,C23;C14,"Disease or Syndrome",5,3
C0206146,"Myocardial Stunning",disease,C23;C14,"Disease or Syndrome",6,5
C0206157,"Myopathies, Nemaline",disease,C05;C10,"Disease or Syndrome",47,178
C0206160,Reticulocytosis,phenotype,C23,Finding,40,1
C0206161,"Reticulocyte count (procedure)",phenotype,NULL,"Laboratory Procedure",234,1
C0206172,"Diabetic Foot",disease,C17;C19;C14,"Disease or Syndrome",39,27
C0206178,"Cytomegalovirus Retinitis",disease,C01;C11,"Disease or Syndrome",13,14
C0206180,"Ki-1+ Anaplastic Large Cell Lymphoma",disease,C04;C20;C15,"Neoplastic Process",300,629
C0206182,"Lymphomatoid Papulosis",disease,C04;C20;C15,"Neoplastic Process",34,76
C0206186,"Leukoplakia, Hairy",disease,C23;C04;C01;C07,"Neoplastic Process",6,8
C0206245,"Amyloid Neuropathies, Familial",group,C16;C18;C10,"Disease or Syndrome",15,223
C0206247,"Amyloid Neuropathies",disease,C18;C10,"Disease or Syndrome",3,22
C0206307,"Canavan Disease",disease,C16;C18;C10,"Disease or Syndrome",12,95
C0206368,"Exfoliation Syndrome",disease,C11,"Disease or Syndrome",94,166
C0206369,Splenosis,disease,C15;C26,"Disease or Syndrome",3,3
C0206504,"Tympanic Membrane Perforation",disease,C09;C26,"Injury or Poisoning",4,4
C0206525,"Tuberculosis, Drug-Resistant",disease,C01,"Disease or Syndrome",37,24
C0206526,"Tuberculosis, Multidrug-Resistant",disease,C01,"Disease or Syndrome",67,81
C0206554,Odontodysplasia,disease,C16;C07,"Congenital Abnormality",1,1
C0206586,"Endolymphatic Hydrops",disease,C09,"Disease or Syndrome",11,12
C0206602,"Circovirus Infections",disease,C01,"Disease or Syndrome",4,1
C0206604,"Arterivirus Infections",group,C01,"Disease or Syndrome",1,1
C0206608,"Flavivirus Infections",group,C01,"Disease or Syndrome",30,22
C0206611,"Pestivirus Infections",group,C01,"Disease or Syndrome",2,1
C0206615,"Pneumovirus Infections",group,C01,"Disease or Syndrome",3,3
C0206617,"Cardiovirus Infections",group,C01,"Disease or Syndrome",10,6
C0206619,"Lymphatic Vessel Tumors",group,C04,"Neoplastic Process",1,0
C0206620,"Lymphangioma, Cystic",disease,C04,"Neoplastic Process",43,10
C0206622,Adenomyoma,disease,C04,"Neoplastic Process",6,4
C0206623,"Adenosquamous carcinoma",disease,C04,"Neoplastic Process",101,102
C0206624,Hepatoblastoma,disease,C04,"Neoplastic Process",452,511
C0206625,"Malignant Mixed Tumor",phenotype,C04,"Neoplastic Process",3,1
C0206627,"Mixed Tumor, Mullerian",disease,C04,"Neoplastic Process",14,13
C0206628,"Mesoblastic Nephroma",disease,C04;C13;C12,"Neoplastic Process",17,8
C0206629,"Pulmonary Blastoma",disease,C04,"Neoplastic Process",10,9
C0206630,"Endometrial Stromal Sarcoma",disease,C04;C13,"Neoplastic Process",75,95
C0206631,"Lipomatous neoplasm",disease,C04,"Neoplastic Process",14,9
C0206632,Angiolipoma,disease,C04,"Neoplastic Process",3,3
C0206633,Angiomyolipoma,disease,C04,"Neoplastic Process",53,81
C0206634,"Liposarcoma, Myxoid",disease,C04,"Neoplastic Process",79,136
C0206635,Myelolipoma,disease,C04,"Neoplastic Process",16,9
C0206636,Chondromatosis,disease,C04,"Neoplastic Process",2,2
C0206637,"Mesenchymal Chondrosarcoma",disease,C04,"Neoplastic Process",19,18
C0206638,"Giant Cell Tumor of Bone",disease,C04,"Neoplastic Process",113,112
C0206639,"Neoplasms, Bone Tissue",group,C04,"Neoplastic Process",7,5
C0206640,"Ossifying Fibroma",disease,C04,"Neoplastic Process",19,17
C0206641,Osteochondromatosis,disease,C04;C05,"Neoplastic Process",10,39
C0206642,"Parosteal Osteosarcoma",disease,C04,"Neoplastic Process",7,8
C0206643,"Neoplasms, Fibrous Tissue",group,C04,"Neoplastic Process",9,10
C0206644,"Histiocytoma, Benign Fibrous",disease,C04,"Neoplastic Process",23,15
C0206645,"Desmoplastic fibroma",disease,C04,"Neoplastic Process",10,4
C0206646,"Fibromatosis, Abdominal",disease,C04,"Neoplastic Process",2,3
C0206647,Dermatofibrosarcoma,disease,C04,"Neoplastic Process",33,63
C0206648,Myofibromatosis,disease,C04,"Neoplastic Process",19,20
C0206649,"Neoplasms, Fibroepithelial",group,C04,"Neoplastic Process",1,1
C0206650,Fibroadenoma,disease,C04,"Neoplastic Process",151,116
C0206651,"Clear Cell Sarcoma of Soft Tissue",disease,C04,"Neoplastic Process",51,105
C0206653,Angiomyoma,disease,C04,"Neoplastic Process",12,9
C0206654,Leiomyomatosis,disease,C04,"Neoplastic Process",21,41
C0206655,"Alveolar rhabdomyosarcoma",disease,C04,"Neoplastic Process",115,214
C0206656,"Embryonal Rhabdomyosarcoma",disease,C04,"Neoplastic Process",121,124
C0206657,"Alveolar Soft Part Sarcoma",disease,C04,"Neoplastic Process",61,71
C0206658,"Smooth Muscle Tumor",disease,C04,"Neoplastic Process",36,58
C0206659,"Embryonal Carcinoma",disease,C04,"Neoplastic Process",165,167
C0206660,Germinoma,disease,C04,"Neoplastic Process",38,30
C0206661,Gonadoblastoma,disease,C16;C04;C13;C12;C19,"Neoplastic Process",34,52
C0206663,"Neuroectodermal Tumor, Primitive",disease,C04,"Neoplastic Process",184,210
C0206664,Teratocarcinoma,disease,C04,"Neoplastic Process",141,101
C0206666,"Trophoblastic Tumor, Placental Site",disease,C04;C13,"Neoplastic Process",18,9
C0206667,"Adrenal Cortical Adenoma",disease,C04;C19,"Neoplastic Process",156,134
C0206669,"Hepatocellular Adenoma",disease,C06;C04,"Neoplastic Process",114,137
C0206671,"Eccrine acrospiroma",disease,C04,"Neoplastic Process",2,2
C0206672,Hidrocystoma,disease,C04,"Neoplastic Process",1,1
C0206673,Syringoma,disease,C04,"Neoplastic Process",3,4
C0206674,"Adenoma, Villous",disease,C04,"Neoplastic Process",20,14
C0206675,"Adenomatoid Tumor",disease,C04,"Neoplastic Process",14,11
C0206677,"Adenomatous Polyps",disease,C04,"Neoplastic Process",120,127
C0206680,"Mesothelioma, Cystic",disease,C04,"Neoplastic Process",4,1
C0206681,"Adenocarcinoma, Clear Cell",disease,C04,"Neoplastic Process",117,116
C0206682,"Follicular thyroid carcinoma",disease,C04,"Neoplastic Process",293,323
C0206683,"Papillary and follicular adenocarcinoma",disease,C04,"Neoplastic Process",5,4
C0206684,"Sebaceous Adenocarcinoma",disease,C04,"Neoplastic Process",41,36
C0206685,"Acinar Cell Carcinoma",disease,C04,"Neoplastic Process",65,63
C0206686,"Adrenocortical carcinoma",disease,C04;C19,"Neoplastic Process",281,320
C0206687,"Carcinoma, Endometrioid",disease,C04;C13;C19,"Neoplastic Process",223,251
C0206692,"Carcinoma, Lobular",disease,C04;C17,"Neoplastic Process",66,69
C0206693,"Medullary carcinoma",disease,C04,"Neoplastic Process",81,67
C0206694,"Mucoepidermoid Carcinoma",disease,C04,"Neoplastic Process",153,190
C0206695,"Carcinoma, Neuroendocrine",disease,C04,"Neoplastic Process",182,195
C0206696,"Carcinoma, Signet Ring Cell",disease,C04,"Neoplastic Process",70,74
C0206698,Cholangiocarcinoma,disease,C04,"Neoplastic Process",877,996
C0206699,"Cystadenocarcinoma, Mucinous",disease,C04,"Neoplastic Process",13,12
C0206700,"Cystadenocarcinoma, Papillary",disease,C04,"Neoplastic Process",5,3
C0206701,"Cystadenocarcinoma, Serous",disease,C04,"Neoplastic Process",110,101
C0206702,"Klatskin Tumor",disease,C04,"Neoplastic Process",50,27
C0206703,"Carcinoma, Giant Cell",disease,C04,"Neoplastic Process",21,5
C0206704,"Carcinoma, Large Cell",disease,C04,"Neoplastic Process",90,95
C0206706,"Verrucous carcinoma",disease,C04,"Neoplastic Process",49,31
